text,text_lower,label
Nicaragua,nicaragua,GPE
Panama,panama,GPE
Venezuelans,venezuelans,NORP
United Nations,united nations,ORG
the Committee for the Protection of All,the committee for the protection of all,ORG
the Ministry of National Defense,the ministry of national defense,ORG
South America,south america,LOC
Tapachula,tapachula,GPE
Belize,belize,GPE
Tehuantepec,tehuantepec,GPE
Oaxaca,oaxaca,GPE
the National Guard,the national guard,ORG
Isthmus,isthmus,GPE
Gulf,gulf,LOC
Pacific,pacific,LOC
Monterrey,monterrey,GPE
Nuevo León,nuevo león,PERSON
the National Guard,the national guard,ORG
Federal EntityCentity Migrants,federal entitycentity migrants,ORG
Baja,baja,GPE
California,california,GPE
Veracruz,veracruz,GPE
Coahuila 894 Sonora 431,coahuila 894 sonora 431,ORG
Nuevo León,nuevo león,PERSON
Mexico City,mexico city,GPE
Tabasco,tabasco,ORG
National Defense,national defense,ORG
Mexico,mexico,GPE
Ayotzinapa The Government of Mexico,ayotzinapa the government of mexico,WORK_OF_ART
Rural Isidro Burgos of Ayotzinapa,rural isidro burgos of ayotzinapa,ORG
the Commission for Truth and Access to Justice,the commission for truth and access to justice,ORG
Ayotzinapa,ayotzinapa,NORP
Ayotzinapa,ayotzinapa,NORP
Commission,commission,ORG
the Foreign Affairs Secretariats,the foreign affairs secretariats,ORG
SRE,sre,ORG
the Secretariat of Health (,the secretariat of health (,ORG
SS,ss,ORG
the Executive Committee,the executive committee,ORG
Victims,victims,NORP
CEAV,ceav,ORG
the National Search Commission,the national search commission,ORG
United Nations,united nations,ORG
the Inter-American Commission on Human Rights,the inter-american commission on human rights,ORG
IACHR,iachr,ORG
Ayotzinapa,ayotzinapa,NORP
the Prosecutor's Office,the prosecutor's office,ORG
Commission,commission,ORG
FGR,fgr,ORG
Commission,commission,ORG
Agency,agency,ORG
the Mexican State,the mexican state,ORG
Interdisciplinary,interdisciplinary,ORG
GIEI,giei,ORG
Ayotzinapa,ayotzinapa,PRODUCT
the Mexican State,the mexican state,ORG
the United Nations for Human Rights,the united nations for human rights,ORG
Michelle Bachelett,michelle bachelett,PERSON
the Ayotzinapa Commission,the ayotzinapa commission,ORG
The Historical Meeting between the Commission,the historical meeting between the commission,WORK_OF_ART
the National Defense,the national defense,ORG
Guerrero Procurator,guerrero procurator,ORG
Ayotzinapa,ayotzinapa,NORP
the Prosecutor's Office,the prosecutor's office,ORG
Research of Enforced Disappearance,research of enforced disappearance,ORG
Ayotzinapa,ayotzinapa,NORP
the General Prosecutor's Office of the Republic,the general prosecutor's office of the republic,ORG
the General Prosecutor of the Republic,the general prosecutor of the republic,ORG
the National Human Rights Commission,the national human rights commission,ORG
the Inter-American Commission on Human Rights,the inter-american commission on human rights,ORG
the Office of the United Nations,the office of the united nations,ORG
the Human Rights,the human rights,ORG
Argentine,argentine,NORP
Forensic Anthropology,forensic anthropology,ORG
the Special Research and Litigation Unit,the special research and litigation unit,ORG
Ayotzinapa,ayotzinapa,NORP
the Office of the Attorney General of,the office of the attorney general of,ORG
the Official Journal of the Federation on June,the official journal of the federation on june,ORG
Omar Gómez Trejo,omar gómez trejo,PERSON
Ayotzinapa,ayotzinapa,NORP
Mexico,mexico,GPE
the National Search Commission,the national search commission,ORG
the National Search Commission,the national search commission,ORG
the Commissions of Coahuila,the commissions of coahuila,ORG
State,state,ORG
Mexico,mexico,GPE
Jalisco,jalisco,GPE
Nayarit,nayarit,GPE
Nuevo León,nuevo león,PERSON
San Luis Potosí,san luis potosí,GPE
Veracruz,veracruz,GPE
Zacatecas,zacatecas,GPE
"the General Law of Enforced Disappearance of Persons, Disappearance","the general law of enforced disappearance of persons, disappearance",LAW
the National Search Commission,the national search commission,ORG
Commission,commission,ORG
the National Search Commission,the national search commission,ORG
Office of the Republic,office of the republic,ORG
the National Search Commission,the national search commission,ORG
Noreteó Regional Plan,noreteó regional plan,WORK_OF_ART
Tamaulipas,tamaulipas,PERSON
Nuevo León,nuevo león,PERSON
Coahuila,coahuila,GPE
the National Human Rights Commission,the national human rights commission,ORG
the International Committee of the Red Cross,the international committee of the red cross,ORG
the Inter-American Commission on Human Rights and the Office of the High Commissioner,the inter-american commission on human rights and the office of the high commissioner,ORG
the United Nations for Human Rights,the united nations for human rights,ORG
the Undersecretariat of Human Rights,the undersecretariat of human rights,ORG
the National Search Commission,the national search commission,ORG
Sinaloa,sinaloa,ORG
Guerrero,guerrero,GPE
Veracruz,veracruz,GPE
Chihuahua,chihuahua,PERSON
Colima,colima,PERSON
the States of Veracruz,the states of veracruz,GPE
Colima,colima,GPE
Sinaloa,sinaloa,PERSON
Sonora,sonora,PERSON
Colima,colima,GPE
Sinaloa,sinaloa,ORG
Jalisco,jalisco,GPE
the National Search Commission,the national search commission,ORG
the National Registry,the national registry,ORG
the General Prosecutor's Office of the Republic,the general prosecutor's office of the republic,ORG
Mexican,mexican,NORP
the Secretariat of Government,the secretariat of government,ORG
Aldama,aldama,GPE
Chenalhó,chenalhó,ORG
the Non-Aggression Convention,the non-aggression convention,ORG
State,state,ORG
Convention,convention,LAW
"Cacahuatepec, Guerrero","cacahuatepec, guerrero",ORG
Peace,peace,FAC
Rincón de Chautla and Zacapexco,rincón de chautla and zacapexco,ORG
Chilapa de Álvarez,chilapa de álvarez,PERSON
Guerrero,guerrero,PERSON
Leonardo Bravo,leonardo bravo,PERSON
Guerrero,guerrero,PERSON
"Urgent Humanitarian Aid,","urgent humanitarian aid,",ORG
the Education of Children and Adolescents and Food,the education of children and adolescents and food,ORG
Che Guevara,che guevara,PERSON
Villa de Zaachila,villa de zaachila,ORG
the State of Oaxaca,the state of oaxaca,GPE
